SNP.id	Chr	Pos	NonCoded.Allele	Coded.Allele	Beta	Se	Chi2	Log10BF	Coded.Af	Qual	ESampleSize	NGenes	Fmiss	Pval
null1_16	1	17	d	D	0.0160287	0.0447824	0.12811	-0.316064	0.9765	1	91.791	1	0	0.7204
null1_17	1	18	d	D	0.0290028	0.0197078	2.16572	-0.206522	0.869	1	455.356	1	0	0.141118
null1_18	1	19	D	d	0.023135	0.0170062	1.85066	-0.328009	0.198	1	635.184	1	0	0.173706
null1_19	1	20	D	d	-0.0255545	0.0135051	3.58046	-0.0530043	0.47825	1	998.108	1	0	0.058463
null1_20	1	21	d	D	-0.00839294	0.0142556	0.346621	-0.716174	0.63675	1	925.198	1	0	0.556032
null1_21	1	22	D	d	0.00515778	0.0187618	0.0755746	-0.658724	0.16425	1	549.088	1	0	0.783387
null1_22	1	23	d	D	0.00713715	0.0188995	0.142611	-0.641787	0.84525	1	523.21	1	0	0.705699
null1_23	1	24	D	d	-0.00491977	0.0168554	0.0851944	-0.701223	0.21225	1	668.8	1	0	0.770378
null1_24	1	25	d	D	0.0163453	0.0141787	1.32898	-0.510472	0.63875	1	922.994	1	0	0.248988
null1_25	1	26	D	d	-0.0219365	0.0164238	1.78398	-0.355613	0.23125	1	711.094	1	0	0.181662
null1_26	1	27	D	d	-0.0028333	0.0139057	0.0415144	-0.791275	0.39975	1	959.8	1	0	0.838548
null1_27	1	28	d	D	0.00502206	0.0137296	0.133797	-0.77709	0.507	1	999.804	1	0	0.714528
null1_28	1	29	D	d	0.041681	0.0190523	4.78608	0.323437	0.1415	1	485.911	1	0	0.0286906
null1_29	1	30	D	d	-0.00742771	0.014644	0.257269	-0.723811	0.3215	1	872.551	1	0	0.612002
null1_30	1	31	D	d	-0.00814056	0.0216814	0.140972	-0.585998	0.11925	1	420.118	2	0	0.707317
null1_31	1	32	d	D	0.0128168	0.0144602	0.785618	-0.617354	0.6435	1	917.631	2	0	0.375428
null1_32	1	33	d	D	0.0835841	0.177121	0.222693	-0.0372395	0.9985	1	5.991	0	0	0.636996
null1_33	1	34	d	D	-0.00382158	0.0267816	0.0203616	-0.525683	0.929	1	263.836	2	0	0.886532
null1_34	1	35	d	D	0.00760742	0.0218154	0.121604	-0.587463	0.884	1	410.176	2	0	0.727301
null1_35	1	36	D	d	0.000512952	0.0138762	0.00136651	-0.800686	0.4875	1	999.375	2	0	0.970512
null1_36	1	37	d	D	0.00717241	0.0232044	0.095541	-0.567832	0.9055	1	342.279	2	0	0.757248
null1_37	1	38	d	D	0.00696422	0.0139147	0.250493	-0.7467	0.57225	1	979.12	2	0	0.616728
null1_38	1	39	D	d	0.00293125	0.0209791	0.0195223	-0.624321	0.12775	1	445.72	2	0	0.888879
null1_39	1	40	D	d	0.0144046	0.0141478	1.03663	-0.573247	0.3505	1	910.599	2	0	0.308605
null1_40	1	41	D	d	-0.00820011	0.0171208	0.2294	-0.664531	0.19325	1	623.618	2	0	0.631969
null1_41	1	42	D	d	-0.0110449	0.0138844	0.632811	-0.666575	0.46175	1	994.148	1	0	0.426326
null1_42	1	43	d	D	0.0225299	0.0143533	2.46384	-0.265512	0.6285	1	933.951	1	0	0.116494
null1_43	1	44	d	D	-0.0203315	0.0138927	2.14174	-0.346639	0.58775	1	969.2	2	0	0.14334
null1_44	1	45	D	d	0.0142369	0.03117	0.208621	-0.430269	0.05225	1	198.08	2	0	0.64785
null1_45	1	46	d	D	0.0296533	0.0138375	4.59233	0.170509	0.502	1	999.984	2	0	0.0321154
null1_46	1	47	d	D	-0.0141844	0.0152118	0.869485	-0.578768	0.7125	1	819.375	2	0	0.351098
null1_47	1	48	D	d	-0.00472705	0.0136664	0.119639	-0.782045	0.49575	1	999.928	2	0	0.729426
null1_48	1	49	d	D	-0.026431	0.0142173	3.45616	-0.0594653	0.5115	1	999.471	2	0	0.0630163
null1_49	1	50	D	d	0.000271569	0.0142787	0.00036173	-0.788802	0.38575	1	947.788	2	0	0.984826
null1_50	1	51	D	d	1.53124e-18	0.0253497	-9.08585e-13	-0.551609	0.079	1	291.036	2	0	1
null1_51	1	52	d	D	-0.00224083	0.0145012	0.0238785	-0.777291	0.678	1	873.264	2	0	0.877194
null1_52	1	53	D	d	-0.00864527	0.0140229	0.380084	-0.715984	0.38025	1	942.64	2	0	0.537558
null1_53	1	54	d	D	0.0690977	0.0474663	2.11912	0.0358032	0.97825	1	85.1078	2	0	0.14547
null1_54	1	55	d	D	0.0137865	0.021688	0.40408	-0.532039	0.8865	1	402.471	1	0	0.52499
null1_55	1	56	D	d	-0.000999792	0.0136985	0.00532691	-0.805306	0.418	1	973.104	1	0	0.941818
null1_56	1	57	D	d	0.036341	0.0197255	3.39419	0.0473992	0.1425	1	488.775	1	0	0.0654265
null1_57	1	58	d	D	9.62144e-18	0.0137186	-9.08585e-13	-0.805813	0.529	1	996.636	1	0	1
null1_58	1	59	d	D	-0.0161683	0.0143389	1.27144	-0.518057	0.61975	1	942.64	1	0	0.259496
null1_59	1	60	D	d	-0.0154211	0.0160361	0.924769	-0.54556	0.24225	1	734.26	1	0	0.336226
null1_60	1	61	d	D	-0.0104165	0.0153922	0.457971	-0.660656	0.73425	1	780.508	1	0	0.498574
null1_61	1	62	d	D	-0.0267923	0.0139616	3.68258	-0.0185576	0.61175	1	950.048	1	0	0.0549838
null1_62	1	63	d	D	0.0157134	0.0141359	1.23565	-0.531462	0.60625	1	954.844	1	0	0.266311
null1_63	1	64	D	d	-0.00363317	0.0134846	0.0725934	-0.797694	0.46675	1	995.578	1	0	0.787597
null1_64	1	65	D	d	-0.00245872	0.0303799	0.00655005	-0.47907	0.0555	1	209.679	1	0	0.935496
null1_65	1	66	D	d	-0.0165769	0.014163	1.36992	-0.502258	0.4045	1	963.519	1	0	0.241825
null1_66	1	67	D	d	0.00173189	0.0254972	0.00461376	-0.548366	0.0785	1	289.351	1	0	0.945846
null1_67	1	68	d	D	0.0110367	0.0142138	0.602921	-0.663141	0.64675	1	913.858	1	0	0.437466
null1_68	1	69	d	D	-0.00321016	0.0163639	0.0384841	-0.723391	0.77525	1	696.95	1	0	0.844474
null1_69	1	70	d	D	0.0213947	0.0140737	2.31099	-0.30564	0.62575	1	936.748	2	0	0.128462
null1_70	1	71	d	D	-0.00333099	0.0144357	0.053244	-0.772989	0.661	1	896.316	2	0	0.817512
null1_71	1	72	D	d	0.0251618	0.0209521	1.44221	-0.33267	0.11925	1	420.118	2	0	0.229783
null1_72	1	73	D	d	0.01457	0.015946	0.834858	-0.566758	0.24525	1	740.41	2	0	0.360872
null1_73	1	74	D	d	0.0304195	0.0419078	0.526882	-0.268259	0.02775	1	107.92	2	0	0.467921
null1_74	1	75	D	d	0.0329102	0.0222172	2.19422	-0.15743	0.1085	1	386.911	2	0	0.138529
null1_75	1	76	d	D	0.0236608	0.0192299	1.51392	-0.350565	0.848	1	515.584	2	0	0.218541
null1_76	1	77	D	d	0.000324878	0.0156174	0.000432738	-0.750991	0.25775	1	765.26	2	0	0.983403
null1_77	1	78	D	d	0.0186005	0.0189179	0.966726	-0.470372	0.15525	1	524.59	2	0	0.325498
null1_78	1	79	d	D	-0.00560024	0.0157258	0.12682	-0.721473	0.73825	1	772.948	2	0	0.721752
null1_79	1	80	d	D	-0.102407	0.0391458	6.84367	0.847441	0.9685	1	122.031	2	0	0.00889561
null1_80	1	81	d	D	-0.000253349	0.0137914	0.000337462	-0.803501	0.55725	1	986.89	1	0	0.985344
null1_81	1	82	D	d	-0.00972624	0.0348848	0.0777351	-0.413186	0.0415	1	159.111	1	0	0.78039
null1_82	1	83	D	d	-0.0118401	0.0137498	0.741515	-0.647585	0.42875	1	979.694	1	0	0.389176
null1_83	1	84	d	D	-0.00810341	0.0140076	0.334662	-0.726066	0.50875	1	999.694	1	0	0.562927
null1_84	1	85	d	D	-0.0204745	0.0506128	0.163645	-0.270703	0.9815	1	72.631	1	0	0.685822
null1_85	1	86	D	d	-0.0192411	0.0183235	1.10266	-0.454776	0.17475	1	576.85	1	0	0.293683
null1_86	1	87	D	d	0.0106392	0.0134713	0.623737	-0.681104	0.431	1	980.956	1	0	0.429662
null1_87	1	88	D	d	-0.00904188	0.0139251	0.421621	-0.710115	0.47975	1	998.36	1	0	0.516129
null1_88	1	89	d	D	-0.0126836	0.0136612	0.861994	-0.624718	0.55675	1	987.118	1	0	0.353181
null1_89	1	90	d	D	-0.00572496	0.0146589	0.152525	-0.745528	0.677	1	874.684	1	0	0.696134
null1_90	1	91	d	D	-0.0158554	0.0141996	1.24683	-0.527257	0.61975	1	942.64	1	0	0.26416
null1_91	1	92	d	D	0.0147974	0.0147552	1.00572	-0.562514	0.64025	1	921.32	1	0	0.31593
null1_92	1	93	D	d	0.000514133	0.0196465	0.000684825	-0.655207	0.14175	1	486.628	1	0	0.979122
null1_93	1	94	d	D	-0.00395214	0.0151072	0.0684376	-0.750622	0.71525	1	814.67	1	0	0.793625
null1_94	1	95	D	d	-0.00835608	0.0144595	0.333965	-0.712906	0.3325	1	887.775	1	0	0.563334
null1_95	1	96	D	d	0.0196349	0.0233617	0.706399	-0.441301	0.09825	1	354.388	1	0	0.400642
null1_96	1	97	D	d	-0.00348068	0.0136618	0.0649099	-0.793798	0.4175	1	972.775	1	0	0.798898
null1_97	1	98	D	d	-0.0111031	0.0137617	0.650944	-0.666429	0.381	1	943.356	1	0	0.419775
null1_98	1	99	D	d	0.00311915	0.0139692	0.0498578	-0.787582	0.395	1	955.9	2	0	0.823311
null1_99	1	100	D	d	0.012922	0.0155707	0.688723	-0.607275	0.254	1	757.936	2	0	0.406599
null1_100	1	101	D	d	-0.0159353	0.0151637	1.10435	-0.530533	0.295	1	831.9	2	0	0.293313
null1_101	1	102	D	d	-0.0545411	0.0522331	1.09033	-0.113286	0.01675	1	65.8777	2	0	0.296399
null1_102	1	103	d	D	0.0115771	0.0173101	0.447301	-0.614415	0.80675	1	623.618	2	0	0.50362
null1_103	1	104	d	D	0.00424538	0.0141136	0.0904817	-0.774629	0.585	1	971.1	2	0	0.763566
null1_104	1	105	d	D	-0.0247636	0.0198809	1.5515	-0.330061	0.86375	1	470.744	2	0	0.212914
null1_105	1	106	d	D	-0.0170747	0.0144913	1.38832	-0.489034	0.69425	1	849.068	2	0	0.23869
null1_106	1	107	D	d	0.0129952	0.0136943	0.900506	-0.615548	0.448	1	989.184	2	0	0.342646
null1_107	1	108	d	D	0.00125631	0.0137344	0.00836708	-0.803551	0.50175	1	999.988	2	0	0.927118
null1_108	1	109	D	d	-0.0117245	0.0148319	0.624879	-0.640818	0.306	1	849.456	2	0	0.42924
null1_109	1	110	d	D	0.0180962	0.0323248	0.313403	-0.396685	0.95075	1	187.298	1	0	0.575599
null1_110	1	111	D	d	-0.00858629	0.0137679	0.388932	-0.721803	0.4475	1	988.975	1	0	0.532861
null1_111	1	112	D	d	-0.00512662	0.0142322	0.129753	-0.762781	0.35575	1	916.768	1	0	0.718688
null1_112	1	113	d	D	-0.0822058	0.0602244	1.8632	0.0293928	0.98725	1	50.3498	1	0	0.172255
null1_113	1	114	D	d	0.000271122	0.0142669	0.000361134	-0.78915	0.36175	1	923.548	1	0	0.984838
null1_114	1	115	d	D	0.00662709	0.0182116	0.132418	-0.659208	0.83525	1	550.43	1	0	0.715938
null1_115	1	116	D	d	0.00677551	0.0159472	0.180516	-0.704328	0.234	1	716.976	1	0	0.67093
null1_116	1	117	d	D	0.000253941	0.0138075	0.00033825	-0.803007	0.51775	1	998.74	1	0	0.985326
null1_117	1	118	D	d	0.0196636	0.029465	0.445362	-0.405402	0.05575	1	210.568	1	0	0.504546
null1_118	1	119	d	D	-0.0236816	0.014204	2.77972	-0.202843	0.624	1	938.496	1	0	0.0954647
null1_119	1	120	D	d	-0.00265741	0.0148886	0.0318576	-0.764484	0.30625	1	849.844	1	0	0.858341
null1_120	1	121	D	d	0.00103307	0.0139246	0.00550419	-0.798337	0.499	1	999.996	1	0	0.940859
null1_121	1	122	d	D	0.0246259	0.0266603	0.853208	-0.362069	0.9275	1	268.975	1	0	0.355647
null1_122	1	123	D	d	-0.000688935	0.0160813	0.00183532	-0.738394	0.2445	1	738.879	1	0	0.965829
null1_123	1	124	D	d	-0.0148294	0.0235913	0.395133	-0.500534	0.098	1	353.584	1	0	0.529613
null1_124	1	125	d	D	-0.0104718	0.0149855	0.488313	-0.66538	0.69475	1	848.29	1	0	0.484681
null1_125	1	126	d	D	-0.00593529	0.014566	0.166036	-0.745344	0.66525	1	890.77	1	0	0.683659
null1_126	1	127	D	d	-0.0120004	0.0182649	0.431677	-0.595698	0.16975	1	563.74	1	0	0.511167
null1_127	1	128	D	d	0.00295693	0.0142058	0.0433258	-0.781865	0.36725	1	929.51	1	0	0.835113
null1_128	1	129	d	D	-0.00379188	0.0137759	0.0757646	-0.787977	0.57075	1	979.978	1	0	0.783121
null1_129	1	130	d	D	-0.00258539	0.0166517	0.0241065	-0.719108	0.76975	1	708.94	1	0	0.876614
null1_130	1	131	d	D	0.0178438	0.0136345	1.71276	-0.445107	0.534	1	995.376	1	0	0.190627
null1_131	1	132	d	D	-0.00791515	0.0140729	0.316339	-0.727998	0.5925	1	965.775	1	0	0.573816
null1_132	1	133	d	D	0.00271246	0.013606	0.0397438	-0.800873	0.59025	1	967.42	1	0	0.841982
null1_133	1	134	d	D	-0.00332156	0.0138497	0.0575178	-0.789588	0.50825	1	999.728	1	0	0.810463
null1_134	1	135	D	d	-0.0743421	0.0515264	2.08166	0.042655	0.01725	1	67.8097	1	0	0.149078
null1_135	1	136	D	d	-0.0353357	0.0201867	3.06405	-0.012677	0.13925	1	479.438	2	0	0.0800418
null1_136	1	137	d	D	0.0244393	0.0270853	0.814161	-0.364004	0.93175	1	254.368	2	0	0.366893
null1_137	1	138	d	D	-0.00838418	0.0144838	0.335088	-0.711966	0.6385	1	923.271	2	0	0.562678
null1_138	1	139	d	D	-0.0256158	0.0310036	0.682638	-0.340921	0.949	1	193.596	2	0	0.40868
null1_139	1	140	d	D	-0.0163227	0.0163176	1.00062	-0.522563	0.7635	1	722.271	2	0	0.31716
null1_140	1	141	d	D	0.0118498	0.0139042	0.726327	-0.646162	0.5905	1	967.239	2	0	0.394076
null1_141	1	142	d	D	0.00403862	0.0142171	0.0806948	-0.773618	0.64425	1	916.768	2	0	0.776358
null1_142	1	143	d	D	-0.00312453	0.0242163	0.0166476	-0.566613	0.912	1	321.024	2	0	0.897337
null1_143	1	144	d	D	-0.0248879	0.0352893	0.497384	-0.33067	0.96075	1	150.838	2	0	0.480652
null1_144	1	145	d	D	0.0107693	0.0271099	0.157804	-0.493644	0.93325	1	249.178	2	0	0.691186
null1_145	1	146	d	D	0.0274806	0.0138076	3.96108	0.036128	0.544	1	992.256	2	0	0.0465637
null1_146	1	147	d	D	0.0268162	0.0138339	3.75756	-0.00621828	0.60375	1	956.944	1	0	0.0525692
null1_147	1	148	D	d	0.0032947	0.0497342	0.00438855	-0.302214	0.01975	1	77.4397	1	0	0.947182
null1_148	1	149	d	D	0.100129	0.0645848	2.40358	0.112035	0.9885	1	45.471	1	0	0.121058
null1_149	1	150	D	d	-0.0284333	0.0377185	0.568259	-0.295005	0.03375	1	130.444	1	0	0.450951
null1_150	1	151	d	D	-0.0707968	0.0395063	3.2114	0.195392	0.9685	1	122.031	1	0	0.073127
null1_151	1	152	d	D	-0.00226217	0.0137368	0.0271193	-0.799499	0.51725	1	998.81	1	0	0.869196
null1_152	1	153	D	d	0.0202961	0.017279	1.37971	-0.420235	0.20025	1	640.6	1	0	0.240151
null1_153	1	154	d	D	-0.0442931	0.0303762	2.1262	-0.0688948	0.949	1	193.596	1	0	0.144799
null1_154	1	155	D	d	0.0254197	0.0138027	3.39166	-0.0845396	0.492	1	999.744	1	0	0.0655271
null1_155	1	156	d	D	0.00390625	0.0139821	0.07805	-0.781214	0.56225	1	984.5	1	0	0.779958
null1_156	1	157	D	d	-0.00203849	0.0159707	0.0162918	-0.738251	0.2545	1	758.919	1	0	0.898435
null1_157	1	158	D	d	-0.0200212	0.0143423	1.94868	-0.374732	0.39425	1	955.268	1	0	0.16273
null1_158	1	159	d	D	-0.0295911	0.0563312	0.275945	-0.221375	0.98475	1	60.0697	1	0	0.599371
null1_159	1	160	d	D	0.0147878	0.0150486	0.965634	-0.562908	0.70875	1	825.694	1	0	0.325771
null1_160	1	161	D	d	-0.0222793	0.0157923	1.99027	-0.327713	0.25475	1	759.41	1	0	0.158312
null1_161	1	162	d	D	-0.00228019	0.0238876	0.00911169	-0.573642	0.90775	1	334.96	1	0	0.923953
null1_162	1	163	D	d	0.0162168	0.0142401	1.29689	-0.515497	0.377	1	939.484	1	0	0.254783
null1_163	1	164	D	d	-0.0114892	0.0143284	0.642958	-0.651327	0.3715	1	933.951	1	0	0.422642
null1_164	1	165	D	d	0.00993668	0.0169373	0.344186	-0.644957	0.2115	1	667.071	1	0	0.557423
null1_165	1	166	D	d	0.0185329	0.0136141	1.85315	-0.41595	0.45925	1	993.358	1	0	0.173417
null1_166	1	167	D	d	-0.0321525	0.0197183	2.65881	-0.104512	0.1405	1	483.039	1	0	0.102978
null1_167	1	168	D	d	-0.00153175	0.0151655	0.0102015	-0.761292	0.27725	1	801.53	2	0	0.919548
null1_168	1	169	D	d	-0.158082	0.0674693	5.48972	0.52949	0.0105	1	41.559	2	0	0.0191286
null1_169	1	170	D	d	-0.00537569	0.024011	0.0501242	-0.56328	0.08475	1	310.27	2	0	0.822847
null1_170	1	171	D	d	-0.0162287	0.013582	1.42772	-0.507129	0.4395	1	985.359	2	0	0.232138
null1_171	1	172	D	d	0.00915378	0.0138149	0.439039	-0.709749	0.46	1	993.6	2	0	0.507587
null1_172	1	173	d	D	-0.00416653	0.0139819	0.088801	-0.778943	0.614	1	948.016	2	0	0.765707
null1_173	1	174	d	D	-0.00743097	0.0186721	0.158381	-0.643498	0.842	1	532.144	2	0	0.690651
null1_174	1	175	d	D	0.0124824	0.0179741	0.482288	-0.591706	0.82175	1	585.908	2	0	0.487388
null1_175	1	176	d	D	0.00207903	0.0149323	0.019385	-0.765882	0.69725	1	844.37	2	0	0.889268
null1_176	1	177	D	d	-0.0313381	0.0228546	1.88018	-0.211304	0.10125	1	363.994	2	0	0.170314
null1_177	1	178	d	D	0.00685272	0.0164545	0.173444	-0.692753	0.77925	1	688.078	2	0	0.677069
null1_178	1	179	D	d	-0.0222327	0.0313303	0.503565	-0.371633	0.05225	1	198.08	1	0	0.477938
null1_179	1	180	D	d	0.00383139	0.0161705	0.0561391	-0.724661	0.23325	1	715.378	1	0	0.812706
null1_180	1	181	D	d	-0.000516769	0.0139278	0.00137667	-0.799114	0.4175	1	972.775	1	0	0.970402
null1_181	1	182	d	D	-0.0421406	0.0203811	4.2751	0.239672	0.871	1	449.436	1	0	0.0386747
null1_182	1	183	D	d	-0.007081	0.0142982	0.245259	-0.73638	0.3525	1	912.975	1	0	0.620433
null1_183	1	184	d	D	-0.00578342	0.0164728	0.123264	-0.70282	0.786	1	672.816	1	0	0.725521
null1_184	1	185	d	D	0.0305909	0.0153719	3.9603	0.0763278	0.72975	1	788.86	1	0	0.0465854
null1_185	1	186	d	D	0.010053	0.0146829	0.468781	-0.677996	0.67125	1	882.694	1	0	0.493549
null1_186	1	187	d	D	0.0256156	0.0160026	2.56228	-0.202372	0.74825	1	753.488	1	0	0.109441
null1_187	1	188	D	d	-0.00152229	0.0138013	0.0121662	-0.800689	0.4445	1	987.679	1	0	0.912171
null1_188	1	189	D	d	-0.0324069	0.016804	3.71919	0.0583505	0.2045	1	650.719	1	0	0.0537904
null1_189	1	190	d	D	-0.00166876	0.0176976	0.00889118	-0.696853	0.812	1	610.624	1	0	0.924876
null1_190	1	191	D	d	0.0205604	0.0243612	0.712301	-0.424042	0.0865	1	316.071	1	0	0.398681
null1_191	1	192	d	D	0.0305082	0.0145468	4.39845	0.148199	0.682	1	867.504	1	0	0.0359716
null1_192	1	193	d	D	-0.0833404	0.035685	5.45431	0.59288	0.96125	1	148.994	1	0	0.0195201
null1_193	1	194	D	d	0.000822138	0.0143436	0.00328527	-0.786264	0.35825	1	919.628	1	0	0.954292
null1_194	1	195	d	D	0.00249821	0.0136949	0.0332767	-0.799487	0.5645	1	983.359	1	0	0.855254
null1_195	1	196	D	d	0.0269312	0.0326155	0.681807	-0.323256	0.04825	1	183.688	1	0	0.408965
null1_196	1	197	d	D	-0.179199	0.163984	1.19418	0.00315711	0.99825	1	6.98775	0	0	0.274489
null1_197	1	198	D	d	0.0248014	0.0136341	3.30902	-0.10682	0.443	1	987.004	1	0	0.0689007
null1_198	1	199	d	D	0.0326051	0.0169543	3.69838	0.057216	0.80275	1	633.37	1	0	0.0544654
null1_199	1	200	d	D	0.0242682	0.0136241	3.17291	-0.13594	0.5325	1	995.775	1	0	0.074869
null1_200	1	201	D	d	-0.00559239	0.0144882	0.148992	-0.751201	0.329	1	883.036	1	0	0.6995
null1_201	1	202	D	d	-0.0226164	0.0156787	2.0808	-0.311514	0.27025	1	788.86	1	0	0.149162
null1_203	1	204	d	D	0.00690066	0.019236	0.128692	-0.637409	0.8505	1	508.599	2	0	0.719792
null1_204	1	205	D	d	0.0161306	0.0158796	1.03186	-0.527033	0.253	1	755.964	2	0	0.309723
null1_205	1	206	D	d	-0.0116766	0.0168141	0.482267	-0.619041	0.20775	1	658.36	2	0	0.487397
null1_206	1	207	D	d	-0.0106987	0.0163608	0.42761	-0.641768	0.2165	1	678.511	2	0	0.513164
null1_207	1	208	d	D	-0.0107236	0.0183137	0.342872	-0.613093	0.831	1	561.756	2	0	0.558176
null1_208	1	209	d	D	-0.0101388	0.0205627	0.243118	-0.586517	0.8705	1	450.919	2	0	0.621963
null1_209	1	210	d	D	0.0160153	0.0177843	0.81096	-0.527478	0.8265	1	573.591	2	0	0.367836
null1_210	1	211	D	d	0.0436293	0.0385733	1.27933	-0.158634	0.0315	1	122.031	2	0	0.258023
null1_211	1	212	D	d	-0.0227654	0.0151889	2.24646	-0.289105	0.2705	1	789.319	2	0	0.133921
null1_212	1	213	D	d	0.00249805	0.0136944	0.0332745	-0.799501	0.4485	1	989.391	2	0	0.855259
null1_213	1	214	d	D	-0.0156257	0.0156292	0.999541	-0.540297	0.752	1	745.984	1	0	0.317421
null1_214	1	215	D	d	-0.00342065	0.0135435	0.0637903	-0.797717	0.4755	1	997.599	1	0	0.800603
null1_215	1	216	d	D	0.0119056	0.0162116	0.539326	-0.622089	0.7775	1	691.975	1	0	0.462712
null1_216	1	217	D	d	0.00269031	0.0135503	0.0394192	-0.802679	0.48125	1	998.594	1	0	0.842621
null1_217	1	218	D	d	0.0397962	0.0287945	1.91013	-0.127328	0.059	1	222.076	1	0	0.166948
null1_218	1	219	d	D	-0.00324152	0.0136818	0.0561318	-0.795041	0.52825	1	996.808	1	0	0.812718
null1_219	1	220	D	d	0.0236455	0.0138058	2.93341	-0.181478	0.41075	1	968.138	1	0	0.0867643
null1_220	1	221	d	D	-0.000827888	0.0143937	0.00330825	-0.784786	0.65775	1	900.46	1	0	0.954133
null1_221	1	222	D	d	0.0288151	0.0519972	0.307101	-0.239463	0.018	1	70.704	1	0	0.579465
null1_222	1	223	D	d	0.00903747	0.0152945	0.34916	-0.686245	0.27175	1	791.608	1	0	0.554589
null1_223	1	224	d	D	-0.00674184	0.0163208	0.170637	-0.696741	0.77075	1	706.778	1	0	0.679546
null1_224	1	225	d	D	0.00533031	0.0141447	0.14201	-0.762785	0.636	1	926.016	1	0	0.706291
null1_225	1	226	d	D	-0.0301197	0.0159254	3.57702	0.00887475	0.77025	1	707.86	1	0	0.0585841
null1_226	1	227	d	D	-0.0238446	0.0137897	2.99	-0.169953	0.5075	1	999.775	1	0	0.0837803
null1_227	1	228	d	D	0.00546372	0.0143206	0.145564	-0.756826	0.603	1	957.564	1	0	0.702811
null1_228	1	229	d	D	-1.6796e-17	0.0137066	-9.08585e-13	-0.806187	0.511	1	999.516	1	0	1
null1_229	1	230	d	D	-0.00956787	0.0143243	0.446154	-0.693096	0.67975	1	870.76	1	0	0.504167
null1_230	1	231	d	D	0.00349037	0.0193478	0.0325447	-0.654941	0.85525	1	495.19	1	0	0.856837
null1_231	1	232	D	d	0.0200526	0.0193949	1.06898	-0.439363	0.142	1	487.344	1	0	0.301177
null1_232	1	233	d	D	-0.00355854	0.0138138	0.0663618	-0.788812	0.6075	1	953.775	1	0	0.79671
null1_233	1	234	d	D	-0.0147294	0.0144408	1.04038	-0.564029	0.65225	1	907.28	1	0	0.307733
null1_234	1	235	d	D	-0.0177258	0.0175876	1.01578	-0.489205	0.81475	1	603.73	1	0	0.313522
null1_235	1	236	d	D	-0.00774958	0.0159037	0.237444	-0.693494	0.75175	1	746.488	1	0	0.626058
null1_236	1	237	D	d	0.0084578	0.0460058	0.033798	-0.323133	0.02325	1	90.8377	2	0	0.854137
null1_237	1	238	D	d	-0.0011861	0.0211005	0.00315977	-0.625317	0.1175	1	414.775	2	0	0.955173
null1_238	1	239	d	D	-0.0174166	0.0178539	0.951608	-0.496576	0.82025	1	589.76	2	0	0.32931
null1_239	1	240	D	d	0.011921	0.0137967	0.746581	-0.645096	0.40825	1	966.328	2	0	0.387561
null1_240	1	241	d	D	0.00419535	0.0169211	0.0614722	-0.704569	0.78625	1	672.244	2	0	0.804184
null1_241	1	242	d	D	-0.00888691	0.014438	0.378868	-0.704028	0.665	1	891.1	2	0	0.53821
null1_242	1	243	d	D	0.0426635	0.0373053	1.3079	-0.163068	0.96425	1	137.888	2	0	0.252776
null1_243	1	244	D	d	-0.0127832	0.017051	0.562055	-0.596593	0.20725	1	657.19	2	0	0.453433
null1_244	1	245	D	d	-0.00252599	0.0153963	0.0269173	-0.751408	0.273	1	793.884	2	0	0.86968
