Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	SNP.id	SNP.pos	SNP.maf	SNP.qual	K	SSM	BIC	F_stat	R2	N.stop	N.better	Pval
1	17	gene17	487	526	40	49	48.3927	NONE	-	-	-	0	0	0	0	-	0	0	-
1	17	gene17	487	526	40	49	48.3927	SUMMARY	-	-	-	0	0.000304573	-6.05409	3.25081	-	1	1	1
1	18	gene18	526	541	16	26	25.8533	NONE	-	-	-	0	0	0	0	-	0	0	-
1	18	gene18	526	541	16	26	25.8533	SUMMARY	-	-	-	0	0.000711636	-3.25028	7.61208	-	1	1	1
1	19	gene19	541	574	34	44	43.536	NONE	-	-	-	0	0	0	0	-	0	0	-
1	19	gene19	541	574	34	44	43.536	SUMMARY	-	-	-	0	0.000951311	-2.48747	10.1889	-	1	1	1
1	20	gene20	574	594	21	31	30.7739	NONE	-	-	-	0	0	0	0	-	0	0	-
1	20	gene20	574	594	21	31	30.7739	SUMMARY	-	-	-	0	0.000277861	-5.74409	2.96528	-	1	1	1
1	21	gene21	594	629	36	46	45.4906	NONE	-	-	-	0	0	0	0	-	0	0	-
1	21	gene21	594	629	36	46	45.4906	SUMMARY	-	-	-	0	0.000196014	-6.572	2.09092	-	1	1	1
1	22	gene22	629	643	15	25	24.8364	NONE	-	-	-	0	0	0	0	-	0	0	-
1	22	gene22	629	643	15	25	24.8364	SUMMARY	-	-	-	0	0.000366075	-5.05845	3.90853	-	1	1	1
1	23	gene23	643	671	29	39	38.6443	NONE	-	-	-	0	0	0	0	-	99576	0	-
1	23	gene23	643	671	29	39	38.6443	dis2_2	668	0.4718	1	1	0.00252841	6.12178	27.3111	0	421	0	-
1	23	gene23	643	671	29	39	38.6443	dis2_1	667	0.2715	1	2	0.0049132	12.3628	26.7082	0.00032489	3	0	-
1	23	gene23	643	671	29	39	38.6443	dis2_4	670	0.462	1	3	0.00649935	14.7848	19.2195	0.00246207	0	0	-
1	23	gene23	643	671	29	39	38.6443	dis2_0	666	0.4825	1	4	0.00789378	16.5309	16.573	0.00120242	0	0	-
1	23	gene23	643	671	29	39	38.6443	dis2_3	669	0.1535	1	5	0.00915521	17.8428	13.7864	0.000868811	0	0	-
1	23	gene23	643	671	29	39	38.6443	SUMMARY	-	-	-	5	0.00915521	17.8428	20.4721	-	100001	1	9.9999e-06
1	24	gene24	671	710	40	49	48.4062	NONE	-	-	-	0	0	0	0	-	99562	0	-
1	24	gene24	671	710	40	49	48.4062	dis2_2	668	0.4718	1	1	0.00252841	5.89655	27.3111	0	438	0	-
1	24	gene24	671	710	40	49	48.4062	dis2_1	667	0.2715	1	2	0.0049132	11.907	26.7082	0.00032489	0	0	-
1	24	gene24	671	710	40	49	48.4062	dis2_4	670	0.462	1	3	0.00649935	14.0928	19.2195	0.00246207	0	0	-
1	24	gene24	671	710	40	49	48.4062	dis2_0	666	0.4825	1	4	0.00789378	15.5968	16.573	0.00120242	0	0	-
1	24	gene24	671	710	40	49	48.4062	dis2_3	669	0.1535	1	5	0.00915521	16.6605	13.7864	0.000868811	0	0	-
1	24	gene24	671	710	40	49	48.4062	SUMMARY	-	-	-	5	0.00915521	16.6605	20.4721	-	100001	1	9.9999e-06
1	25	gene25	710	735	26	35	34.6855	NONE	-	-	-	0	0	0	0	-	0	0	-
1	25	gene25	710	735	26	35	34.6855	SUMMARY	-	-	-	0	0.000592179	-4.18348	6.33026	-	1	1	1
1	26	gene26	735	769	35	42	41.534	NONE	-	-	-	0	0	0	0	-	0	0	-
1	26	gene26	735	769	35	42	41.534	SUMMARY	-	-	-	0	0.000385925	-5.46658	4.1209	-	1	1	1
1	27	gene27	769	808	40	48	47.4609	NONE	-	-	-	0	0	0	0	-	0	0	-
1	27	gene27	769	808	40	48	47.4609	SUMMARY	-	-	-	0	0.000564356	-4.64592	6.03194	-	1	1	1
1	28	gene28	808	833	26	36	35.7092	NONE	-	-	-	0	0	0	0	-	0	0	-
1	28	gene28	808	833	26	36	35.7092	SUMMARY	-	-	-	0	0.000451875	-4.96295	4.82681	-	1	1	1
1	29	gene29	833	872	40	49	48.4497	NONE	-	-	-	0	0	0	0	-	0	0	-
1	29	gene29	833	872	40	49	48.4497	SUMMARY	-	-	-	0	0.000655723	-4.17766	7.0119	-	1	1	1
1	30	gene30	872	908	37	45	44.4893	NONE	-	-	-	0	0	0	0	-	0	0	-
1	30	gene30	872	908	37	45	44.4893	SUMMARY	-	-	-	0	0.00050635	-4.89151	5.41028	-	1	1	1
1	31	gene31	908	948	41	50	49.3813	NONE	-	-	-	0	0	0	0	-	0	0	-
1	31	gene31	908	948	41	50	49.3813	SUMMARY	-	-	-	0	0.000516824	-4.93982	5.5225	-	1	1	1
1	32	gene32	948	975	28	38	37.6628	NONE	-	-	-	0	0	0	0	-	0	0	-
1	32	gene32	948	975	28	38	37.6628	SUMMARY	-	-	-	0	0.000792409	-3.19399	8.47974	-	1	1	1
1	33	gene33	975	986	12	22	21.8849	NONE	-	-	-	0	0	0	0	-	0	0	-
1	33	gene33	975	986	12	22	21.8849	SUMMARY	-	-	-	0	0.00051858	-4.11666	5.54132	-	1	1	1
1	34	gene34	986	1000	15	20	19.8953	NONE	-	-	-	0	0	0	0	-	0	0	-
1	34	gene34	986	1000	15	20	19.8953	SUMMARY	-	-	-	0	0.000610144	-3.53153	6.52292	-	1	1	1
